mode,compiler,trial,cores,batch_size,repetition,wall_time_s,peak_rss_mb
bulk,clang,trial_6,4,50,1,16.0001,184.83
bulk,gcc,trial_6,4,50,1,22.0988,250.27
bulk,clang,trial_6,2,75,1,13.6318,71.76
bulk,gcc,trial_6,2,75,1,18.0101,152.98
bulk,gcc,trial_6,4,75,1,18.8948,648.24
bulk,gcc,trial_6,8,75,1,25.4447,390.56
bulk,clang,trial_6,4,75,1,15.0707,204.88
bulk,clang,trial_6,8,75,1,17.4851,331.37
bulk,gcc,trial_6,1,75,1,14.0928,103.92
bulk,clang,trial_6,1,75,1,13.8314,65.91
seq,gcc,trial_6,1,-,1,24.4537,96.11
seq,clang,trial_6,2,-,1,20.0621,67.8
seq,gcc,trial_6,2,-,1,26.3762,192.39
seq,clang,trial_6,4,-,1,18.3333,153.13
seq,gcc,trial_6,4,-,1,23.3771,604.17
seq,clang,trial_6,8,-,1,22.6657,176.34
seq,gcc,trial_6,8,-,1,26.338,324.84
seq,clang,trial_7,1,-,1,21.7574,57.51
bulk,gcc,trial_7,2,25,1,17.6863,344.96
bulk,gcc,trial_7,4,25,1,19.3651,366.11
bulk,clang,trial_7,4,25,1,14.461,165.38
bulk,clang,trial_7,2,25,1,13.6758,93.86
bulk,gcc,trial_7,1,25,1,15.0801,206.14
bulk,clang,trial_7,1,25,1,14.3381,46.07
bulk,gcc,trial_7,8,25,1,19.0113,1136.9
bulk,clang,trial_7,8,25,1,19.1159,334.87
bulk,gcc,trial_7,2,5,1,19.4,208.13
bulk,clang,trial_7,2,5,1,18.9394,54.19
bulk,clang,trial_7,4,5,1,17.5303,123.48
bulk,clang,trial_7,1,5,1,14.9943,49.22
bulk,clang,trial_7,8,5,1,17.5461,321.82
bulk,gcc,trial_7,4,5,1,25.1736,442.77
bulk,gcc,trial_7,8,5,1,21.9924,335.29
bulk,gcc,trial_7,1,5,1,17.9413,66.18
bulk,clang,trial_7,1,50,1,15.4692,52.34
bulk,clang,trial_7,8,50,1,16.5214,246.11
bulk,gcc,trial_7,8,50,1,19.6733,648.57
bulk,gcc,trial_7,1,50,1,14.0661,231.88
bulk,gcc,trial_7,2,50,1,16.9407,134.34
bulk,clang,trial_7,2,50,1,14.5414,120.99
bulk,clang,trial_7,4,50,1,16.4546,144.52
bulk,gcc,trial_7,4,50,1,20.6592,535.96
bulk,clang,trial_7,2,75,1,14.9027,92.53
bulk,gcc,trial_7,2,75,1,17.043,123.7
bulk,gcc,trial_7,4,75,1,20.3101,274.11
bulk,gcc,trial_7,8,75,1,24.3553,795.87
bulk,clang,trial_7,4,75,1,14.5986,161.68
bulk,clang,trial_7,8,75,1,16.869,351.62
bulk,gcc,trial_7,1,75,1,17.1207,81.38
bulk,clang,trial_7,1,75,1,10.2548,57.23
seq,gcc,trial_7,1,-,1,23.9011,142.97
seq,clang,trial_7,2,-,1,20.6093,68.29
seq,gcc,trial_7,2,-,1,26.8503,103.61
seq,clang,trial_7,4,-,1,19.3756,98.44
seq,gcc,trial_7,4,-,1,23.4732,558.38
seq,clang,trial_7,8,-,1,21.7996,142.41
seq,gcc,trial_7,8,-,1,22.9756,734.71
seq,clang,trial_8,1,-,1,21.7547,34.55
bulk,gcc,trial_8,2,25,1,17.7398,115.93
bulk,gcc,trial_8,4,25,1,24.0867,629.62
bulk,clang,trial_8,4,25,1,16.0631,210.59
bulk,clang,trial_8,2,25,1,14.969,99.46
bulk,gcc,trial_8,1,25,1,15.4889,205.11
bulk,clang,trial_8,1,25,1,13.1421,74.0
bulk,gcc,trial_8,8,25,1,20.2626,593.57
bulk,clang,trial_8,8,25,1,18.5669,450.28
bulk,gcc,trial_8,2,5,1,21.9141,125.74
bulk,clang,trial_8,2,5,1,16.9722,69.28
bulk,clang,trial_8,4,5,1,19.3309,173.71
bulk,clang,trial_8,1,5,1,18.3918,47.1
bulk,clang,trial_8,8,5,1,18.4864,389.58
bulk,gcc,trial_8,4,5,1,25.7958,511.59
bulk,gcc,trial_8,8,5,1,23.5964,1091.67
bulk,gcc,trial_8,1,5,1,19.5158,161.83
bulk,clang,trial_8,1,50,1,11.7491,39.89
bulk,clang,trial_8,8,50,1,18.1013,395.49
bulk,gcc,trial_8,8,50,1,25.3057,670.78
bulk,gcc,trial_8,1,50,1,15.8209,103.98
bulk,gcc,trial_8,2,50,1,15.4691,119.52
bulk,clang,trial_8,2,50,1,14.7413,76.93
bulk,clang,trial_8,4,50,1,16.2884,227.66
bulk,gcc,trial_8,4,50,1,19.6916,894.12
bulk,clang,trial_8,2,75,1,14.5625,107.04
bulk,gcc,trial_8,2,75,1,17.8739,372.52
bulk,gcc,trial_8,4,75,1,18.3708,636.37
bulk,gcc,trial_8,8,75,1,20.6699,732.89
bulk,clang,trial_8,4,75,1,15.6922,195.38
bulk,clang,trial_8,8,75,1,17.39,432.93
bulk,gcc,trial_8,1,75,1,16.9329,81.38
bulk,clang,trial_8,1,75,1,13.6023,61.15
seq,gcc,trial_8,1,-,1,22.7422,153.41
seq,clang,trial_8,2,-,1,17.8347,81.53
seq,gcc,trial_8,2,-,1,24.9147,175.11
seq,clang,trial_8,4,-,1,21.0968,135.28
seq,gcc,trial_8,4,-,1,26.8283,210.31
seq,clang,trial_8,8,-,1,20.1912,156.64
seq,gcc,trial_8,8,-,1,24.9669,970.76
seq,clang,trial_9,1,-,1,20.1668,57.22
bulk,gcc,trial_9,2,25,1,16.7669,131.47
bulk,gcc,trial_9,4,25,1,19.3098,652.59
bulk,clang,trial_9,4,25,1,15.4739,172.49
bulk,clang,trial_9,2,25,1,14.6493,90.08
bulk,gcc,trial_9,1,25,1,15.9472,232.83
bulk,clang,trial_9,1,25,1,12.2972,56.64
bulk,gcc,trial_9,8,25,1,24.5099,869.79
bulk,clang,trial_9,8,25,1,18.6191,299.4
bulk,gcc,trial_9,2,5,1,25.0949,92.84
bulk,clang,trial_9,2,5,1,15.757,63.2
bulk,clang,trial_9,4,5,1,18.9793,151.08
bulk,clang,trial_9,1,5,1,15.9451,29.97
bulk,clang,trial_9,8,5,1,19.6486,307.68
bulk,gcc,trial_9,4,5,1,21.51,206.38
bulk,gcc,trial_9,8,5,1,21.5661,753.71
bulk,gcc,trial_9,1,5,1,20.6949,135.18
bulk,clang,trial_9,1,50,1,12.6504,28.32
bulk,clang,trial_9,8,50,1,17.5938,270.37
bulk,gcc,trial_9,8,50,1,21.7754,967.81
bulk,gcc,trial_9,1,50,1,14.8814,109.29
bulk,gcc,trial_9,2,50,1,19.2243,286.11
bulk,clang,trial_9,2,50,1,13.326,48.33
bulk,clang,trial_9,4,50,1,15.2972,193.14
bulk,gcc,trial_9,4,50,1,22.2087,339.66
bulk,clang,trial_9,2,75,1,13.5847,80.86
bulk,gcc,trial_9,2,75,1,19.1046,123.7
bulk,gcc,trial_9,4,75,1,19.8101,325.81
